code,first_year_credit_period,last_year_credit_period,last_year_compliance_period,comments
F94,2004,2025,2018,
S56,2001,2011,2015,
S57,2006,2016,2020,
S59,2007,2017,2021,
F83,2006,2016,2020,
F86,2000,2010,2014,
F87,2008,2017,2022,
F88,2007 & 2008,2017 & 2018,2021 & 2022,
F81,2001 & 2002,2011 & 2012,2015 & 2016,
F82,2002,2012,2016,
F84,2012,2022,2026,"2012 credits have not been claimed yet,but will when the final 8609's come in"
F85,2009,2019,2023,
F89,2005,2015,2019,Dates have been updated
F90,2005,2015,2019,Dates have been updated
F91,2003,2012,2017,
F92,2003,2013,2017,
S47,2011,2020,2025,
S55,2003,2013,2017,
S52,2008,2018,2022,
F93,2005,2015,2019,
F78,2006,2016,2020,
F93,2010,2024,2024,Building has 2/3rds credits
N/A,2003,2013,2017,
F75,2002,2012,2016,
S58,1999,2009,2013,
F77,2001 & 2002,2011 & 2012,2015 & 2016,
F79,2009 & 2010,2019,2023 & 2024,Dates have been verified and are correct.
F78,2007,2017,2021,
F 76,2011,2021,2025,
F 74,2007,2017,2021,
